# addr  segment  name  u32  f32  f64
0x180000000  ?    4294967295  nan  nan
0x180C94F20  .data  dwTlsIndex  4294967295  nan  8.4901051596516e-311
0x180C95160  .data  off_180C95160  2160677376  -1.848835078511934e-38  3.189512254e-314
0x180C95168  .data  off_180C95168  2160815356  -1.8681701947226878e-38  3.1895804254e-314
0x180C95170  .data  off_180C95170  2160815356  -1.8681701947226878e-38  3.1895804254e-314
0x180C95178  .data  off_180C95178  2160815356  -1.8681701947226878e-38  3.1895804254e-314
0x180C95180  .data  off_180C95180  2160815356  -1.8681701947226878e-38  3.1895804254e-314
0x180C95188  .data  off_180C95188  2160815356  -1.8681701947226878e-38  3.1895804254e-314
0x180C95190  .data  off_180C95190  2160815356  -1.8681701947226878e-38  3.1895804254e-314
0x180C95198  .data  off_180C95198  2160815356  -1.8681701947226878e-38  3.1895804254e-314
0x180C951A0  .data  off_180C951A0  2160815356  -1.8681701947226878e-38  3.1895804254e-314
0x180C951A8  .data  off_180C951A8  2160815356  -1.8681701947226878e-38  3.1895804254e-314
0x180C951B8  .data  off_180C951B8  2160677380  -1.8488356390313197e-38  3.189512256e-314
0x180C951C0  .data  off_180C951C0  2160815360  -1.8681707552420736e-38  3.1895804273e-314
0x180C951C8  .data  off_180C951C8  2160815360  -1.8681707552420736e-38  3.1895804273e-314
0x180C951D0  .data  off_180C951D0  2160815360  -1.8681707552420736e-38  3.1895804273e-314
0x180C951D8  .data  off_180C951D8  2160815360  -1.8681707552420736e-38  3.1895804273e-314
0x180C951E0  .data  off_180C951E0  2160815360  -1.8681707552420736e-38  3.1895804273e-314
0x180C951E8  .data  off_180C951E8  2160815360  -1.8681707552420736e-38  3.1895804273e-314
0x180C951F0  .data  off_180C951F0  2160815360  -1.8681707552420736e-38  3.1895804273e-314
0x180C95210  .data  unk_180C95210  12  1.6815581571897805e-44  1.69759663337e-313
0x180C95400  .data  dword_180C95400  4294967295  nan  2.1219957905e-314
0x180C95460  .data  off_180C95460  2158565232  -1.5528606641486464e-38  3.1884687164e-314
0x180C955C8  .data  unk_180C955C8  67  9.388699710976274e-44  3.3e-322
0x180C955D0  .data  byte_180C955D0  1  1.401298464324817e-45  5e-324
0x180C958F0  .data  unk_180C958F0  0  0.0  0.0
0x180CB6350  .data  dword_180CB6350  4294967295  nan  nan
0x180CB6360  .data  dword_180CB6360  4294967295  nan  nan
0x180CB6364  .data  dword_180CB6364  4294967295  nan  nan
0x180CB6370  .data  qword_180CB6370  4294967295  nan  nan
0x180CB6378  .data  dword_180CB6378  4294967295  nan  nan
0x180CB6380  .data  unk_180CB6380  4294967295  nan  nan
0x180CB6400  .data  ContextRecord  4294967295  nan  nan
0x180CB6480  .data    4294967295  nan  nan
0x180CB6498  .data    4294967295  nan  nan
0x180CB64F8  .data    4294967295  nan  nan
0x180CB68D4  .data  dword_180CB68D4  4294967295  nan  nan
0x180CB6980  .data  qword_180CB6980  4294967295  nan  nan
0x180CB6CE0  .data  qword_180CB6CE0  4294967295  nan  nan
0x180CB6E40  .data  unk_180CB6E40  4294967295  nan  nan
0x180CB7078  .data  qword_180CB7078  4294967295  nan  nan
0x180CB73F0  .data  qword_180CB73F0  4294967295  nan  nan
0x180CB7490  .data  qword_180CB7490  4294967295  nan  nan
0x180CB79C8  .data  qword_180CB79C8  4294967295  nan  nan
0x180CB79DC  .data  dword_180CB79DC  4294967295  nan  nan
0x180CB7A70  .data  hHeap  4294967295  nan  nan
0x180CB7A78  .data  qword_180CB7A78  4294967295  nan  nan
0x180CB7A80  .data  dword_180CB7A80  4294967295  nan  nan
0xFF0000000002DE68  ?    4294967295  nan  nan
0xFF0000000002DE6B  ?    4294967295  nan  nan
0xFF0000000002DE77  ?    4294967295  nan  nan
0xFF0000000002DE99  ?    4294967295  nan  nan
0xFF0000000002E2DC  ?    4294967295  nan  nan
0xFF0000000002E2DD  ?    4294967295  nan  nan
