param_id	offset	name
928	101520	Voice1 Gate Notify
929	101536	Voice1 Note Off Notify
930	101552	Voice2 Gate Notify
931	101568	Voice2 Note Off Notify
932	101584	Voice3 Gate Notify
933	101600	Voice3 Note Off Notify
934	101616	Voice4 Gate Notify
935	101632	Voice4 Note Off Notify
936	101648	Voice5 Gate Notify
937	101664	Voice5 Note Off Notify
938	101680	Voice6 Gate Notify
939	101696	Voice6 Note Off Notify
940	101712	Voice7 Gate Notify
941	101728	Voice7 Note Off Notify
942	101744	DLY Mute
943	102352	Delay Time
944	102368	High Cut C0
945	102384	High Cut A0
946	102400	High Cut A1
947	102416	High Cut B0
948	102432	High Cut B2
949	102448	Use IIR High Cut Filter
950	102464	High Cut Fc
951	102480	High Cut Qc
952	102496	High Cut Sw
953	102512	Dry Level
954	102528	Wet Level
955	102544	Ip Fc
956	102560	Feedback
957	102576	On/Off
958	102592	Mute
959	102608	LF Damp Fc
960	102624	LF Damp Hp
961	102640	LF Damp Lp
962	102656	HF Damp Fc
963	102672	HF Damp Hp
964	102688	HF Damp Lp
965	4297584	Delay Time
966	4297600	High Cut C0
967	4297616	High Cut A0
968	4297632	High Cut A1
969	4297648	High Cut B0
970	4297664	High Cut B2
971	4297680	Use IIR High Cut Filter
972	4297696	High Cut Fc
973	4297712	High Cut Qc
974	4297728	High Cut Sw
975	4297744	Dry Level
976	4297760	Wet Level
977	4297776	Ip Fc
978	4297792	Tap Time
979	4297808	Feedback
980	4297824	On/Off
981	4297840	Mute
982	4297856	Tap Sw
983	4297872	Stereo Sw
984	4297888	Wet Gain
985	4297904	LF Damp Fc
986	4297920	LF Damp Hp
987	4297936	LF Damp Lp
988	4297952	HF Damp Fc
989	4297968	HF Damp Hp
990	4297984	HF Damp Lp
991	6395312	Chorus CV
992	6395328	Chrus LFO Sync
993	6396128	Delay Time
994	6396144	LFO Curve
995	6396160	LFO Manual
996	6396176	LFO Depth
997	6396192	High Cut C0
998	6396208	High Cut A0
999	6396224	High Cut A1
1000	6396240	High Cut B0
1001	6396256	High Cut B2
1002	6396272	Use IIR High Cut Filter
1003	6396288	High Cut Fc
1004	6396304	High Cut Qc
1005	6396320	High Cut Sw
1006	6396336	Low Cut Fc
1007	6396352	Low Cut Sw
1008	6396368	Dry Level
1009	6396384	Wet Level
1010	6396400	Ip Fc
1011	6396416	Feedback
1012	6396432	On/Off
1013	6396448	Mute
1014	6396464	Tap Sw
1015	6396480	Stereo Sw
1016	6396496	Dry Gain
1017	6396512	Wet Gain
1018	6429472	Flanger CV
1019	6429488	Flanger LFO Sync
1020	6430464	Delay Time
1021	6430480	LFO Curve
1022	6430496	LFO Manual
1023	6430512	LFO Depth
1024	6430528	High Cut C0
1025	6430544	High Cut A0
1026	6430560	High Cut A1
1027	6430576	High Cut B0
1028	6430592	High Cut B2
1029	6430608	Use IIR High Cut Filter
1030	6430624	High Cut Fc
1031	6430640	High Cut Qc
1032	6430656	High Cut Sw
1033	6430672	Low Cut Fc
1034	6430688	Low Cut Sw
1035	6430704	Dry Level
1036	6430720	Wet Level
1037	6430736	Ip Fc
1038	6430752	Feedback
1039	6430768	On/Off
1040	6430784	Mute
1041	6430800	LFO St.Phase
1042	6430816	LFO St.Ofst
1043	6497168	Delay Time
1044	6497184	High Cut C0
1045	6497200	High Cut A0
1046	6497216	High Cut A1
1047	6497232	High Cut B0
1048	6497248	High Cut B2
1049	6497264	Use IIR High Cut Filter
1050	6497280	High Cut Fc
1051	6497296	High Cut Qc
1052	6497312	High Cut Sw
