cell	class	scenarios_observing	loudest_dB_rel
9920	NOT-CARRIED	0	
9936	NOT-CARRIED	0	
10048	NOT-CARRIED	0	
10064	NOT-CARRIED	0	
10080	NOT-CARRIED	0	
10096	CARRIED	3	-98.1
10112	NOT-CARRIED	0	
10128	CARRIED	1	-104.3
10144	NOT-CARRIED	0	
10160	NOT-CARRIED	0	
10416	NOT-CARRIED	0	
10432	CARRIED	5	-83.7
10448	NOT-CARRIED	0	
10480	CARRIED	2	-130.8
10496	CARRIED	2	-134.7
10512	NOT-CARRIED	0	
10528	NOT-CARRIED	0	
10544	NOT-CARRIED	0	
10656	NOT-CARRIED	0	
10672	CARRIED	5	-131.5
