pos	disp	family	struct	name	type	range	default
0	740	NAME	name0	name	int4x4		
1	741	NAME	name0	name	stringNx4		----------------
2	742	SETUP	ARP	DUMMY	int1x7	0,1	0
3	743	SETUP	SCAT	DUMMY	int1x7	0,9	0
4	744	SYSTEM	SYS_COM	Local SW	int1x7	0,2	1
5	745	SYSTEM	SYS_COM	Master Tune (SYSTEM-1)	int1x7	0,20	10
6	746	SYSTEM	SYS_COM	MASTER TUNE	int2x4	0,200	100
7	747	SYNTH	SYN_COM	VOLUME	int2x4	0,255	128
8	748	SYNTH	SYN_COM	TRANSPOSE	int1x7	0,11	0
9	749	SYNTH	SYN_COM	TEMPO	int3x4	0,2600	880
10	750	PATCH	LFO	(LFO WAVE)	int2x4	0,5	0
11	751	PATCH	LFO	LFO DELAY TIME	int2x4	0,255	0
12	752	PATCH	LFO	LFO RATE	int2x4	0,255	145
13	753	PATCH	LFO	DCO LFO MOD	int2x4	0,255	128
14	754	PATCH	LFO	VCF LFO MOD	int2x4	0,255	128
15	755	PATCH	LFO	(LFO AMP DEPTH)	int2x4	0,255	128
16	756	PATCH	LFO	LFO KEY TRIG	int2x4	0,1	0
17	757	PATCH	OSC1	(OSC1 WAVE)	int2x4	0,5	0
18	758	PATCH	OSC1	DCO PWM DEPTH	int2x4	0,255	0
19	759	PATCH	OSC1	DCO PWM SOURCE	int2x4	0,5	0
20	760	PATCH	OSC1	DCO RANGE	int2x4	0,5	3
21	761	PATCH	OSC1	(OSC1 CROSS MOD)	int2x4	0,255	0
22	762	PATCH	OSC2	(OSC2 WAVE)	int2x4	0,5	0
23	763	PATCH	OSC2	(OSC2 COLOR)	int2x4	0,255	0
24	764	PATCH	OSC2	(OSC2 MOD)	int2x4	0,5	0
25	765	PATCH	OSC2	(OSC2 RANGE)	int2x4	0,5	0
26	766	PATCH	OSC2	(OSC2 FINE TUNE)	int2x4	0,255	128
27	767	PATCH	OSC2	(OSC2 RING)	int2x4	0,3	0
28	768	PATCH	OSC2	(OSC2 SYNC)	int2x4	0,3	0
29	769	PATCH	OSC2	(OSC2 COARSE TUNE)	int2x4	0,22	11
30	770	PATCH	MIX	DCO PWM LEVEL	int2x4	0,255	128
31	771	PATCH	MIX	DCO SAW LEVEL	int2x4	0,255	0
32	772	PATCH	MIX	DCO SUB LEVEL	int2x4	0,255	0
33	773	PATCH	MIX	DCO NOISE LEVEL	int2x4	0,255	0
34	774	PATCH	MIX	(MIX SUB OSC TYPE)	int2x4	0,3	0
35	775	PATCH	MIX	(MIX NOISE TYPE)	int2x4	0,3	0
36	776	PATCH	PIT	(VCO ENV)	int2x4	0,255	128
37	777	PATCH	PIT	(PITCH ATTACK)	int2x4	0,255	0
38	778	PATCH	PIT	(PITCH DECAY)	int2x4	0,255	0
39	779	PATCH	FLT	VCF CUTOFF FREQ	int2x4	0,255	255
40	780	PATCH	FLT	(FILTER LPF TYPE)	int2x4	0,3	0
41	781	PATCH	FLT	VCF RESONANCE	int2x4	0,255	0
42	782	PATCH	FLT	HPF CUTOFF FREQ	int2x4	0,255	0
43	783	PATCH	FLT	VCF ENV MOD	int2x4	0,255	128
44	784	PATCH	FLT	ENV1 ATTACK	int2x4	0,255	0
45	785	PATCH	FLT	ENV1 DECAY	int2x4	0,255	0
46	786	PATCH	FLT	ENV1 SUSTAIN	int2x4	0,255	255
47	787	PATCH	FLT	ENV1 RELEASE	int2x4	0,255	0
48	788	PATCH	FLT	VCF KEY FOLLOW	int2x4	0,255	128
49	789	PATCH	AMP	ENV2 ATTACK	int2x4	0,255	0
50	790	PATCH	AMP	ENV2 DECAY	int2x4	0,255	0
51	791	PATCH	AMP	ENV2 SUSTAIN	int2x4	0,255	255
52	792	PATCH	AMP	ENV2 RELEASE	int2x4	0,255	0
53	793	PATCH	AMP	VCA TONE	int2x4	0,255	128
54	794	PATCH	EFX	EFFECT DEPTH	int2x4	0,255	0
55	795	PATCH	EFX	REVERB LEVEL	int2x4	0,255	0
56	796	PATCH	EFX	DELAY LEVEL	int2x4	0,255	0
57	797	PATCH	EFX	DELAY TIME	int2x4	0,255	128
58	798	PATCH	CTRL	PORTAMENTO	int2x4	0,255	0
59	799	PATCH	CTRL	LEGATO	int2x4	0,1	0
60	800	PATCH	CTRL	ASSIGN MODE	int2x4	0,3	0
61	801	PATCH	CTRL	BEND RANGE	int2x4	0,23	11
62	802	PATCH	CTRL	(MOD ASIGN)	int2x4	0,127	0
63	803	PATCH	CTRL	TEMPO SYNC	int2x4	0,1	0
64	804	PATCH	EXTEND	(MOD ID 1)	int2x4	0,255	0
65	805	PATCH	EXTEND	(MOD ID 2)	int2x4	0,255	0
66	806	PATCH	EXTEND	(MOD ID 3)	int2x4	0,255	0
67	807	PATCH	EXTEND	(MOD PRM 1)	int2x4	0,255	0
68	808	PATCH	EXTEND	(MOD PRM 2)	int2x4	0,255	0
69	809	PATCH	EXTEND	(MOD PRM 3)	int2x4	0,255	0
70	810	PATCH	EXTEND	VCA LEVEL	int2x4	0,255	128
71	811	PATCH	EXTEND	VCA LEVEL SW	int2x4	0,1	1
72	812	PATCH	EXTEND	(OSC1 EXTEND)	int2x4	0,1	0
73	813	PATCH	EXTEND	(OSC2 EXTEND)	int2x4	0,1	0
74	814	NAME	PAT_NAME	PATCH NAME 000-003	int8x4	0,2147483647	0
75	815	NAME	PAT_NAME	PATCH NAME 004-007	int8x4	0,2147483647	0
76	816	NAME	PAT_NAME	PATCH NAME 008-011	int8x4	0,2147483647	0
77	817	NAME	PAT_NAME	PATCH NAME 012-015	int8x4	0,2147483647	0
78	818	NAME	PAT_NAME	PATCH NAME 016-019	int8x4	0,2147483647	0
79	819	NAME	PAT_NAME	PATCH NAME 020-023	int8x4	0,2147483647	0
80	820	NAME	PAT_NAME	PATCH NAME 024-027	int8x4	0,2147483647	0
81	821	NAME	PAT_NAME	PATCH NAME 028-031	int8x4	0,2147483647	0
82	822	NAME	PAT_NAME	PATCH NAME 032-035	int8x4	0,2147483647	0
83	823	NAME	PAT_NAME	PATCH NAME 036-039	int8x4	0,2147483647	0
84	824	NAME	PAT_NAME	PATCH NAME 040-043	int8x4	0,2147483647	0
85	825	NAME	PAT_NAME	PATCH NAME 044-047	int8x4	0,2147483647	0
86	826	NAME	PAT_NAME	PATCH NAME 048-051	int8x4	0,2147483647	0
87	827	NAME	PAT_NAME	PATCH NAME 052-055	int8x4	0,2147483647	0
88	828	NAME	PAT_NAME	PATCH NAME 056-059	int8x4	0,2147483647	0
89	829	NAME	PAT_NAME	PATCH NAME 060-063	int8x4	0,2147483647	0
90	830	NAME	PAT_NAME1	(INPUT JACK USING)	int8x4	0,65535	0
91	831	NAME	PAT_NAME1	ARPEGGIO SW	int8x4	0,1	0
92	832	NAME	PAT_NAME1	ARPEGGIO TYPE	int8x4	0,5	0
93	833	NAME	PAT_NAME1	ARPEGGIO STEP	int8x4	0,5	0
94	834	NAME	PAT_NAME1	SCATTER TYPE	int8x4	0,9	0
95	835	NAME	PAT_NAME1	SCATTER DEPTH	int8x4	-5,5	0
96	836	NAME	PAT_NAME1	OCTAVE SHIFT	int8x4	-3,3	0
97	837	NAME	PAT_NAME1	KEY HOLD	int8x4	0,1	0
98	838	NAME	PAT_NAME1	(LFO CV IN)	int8x4	0,13	0
99	839	NAME	PAT_NAME1	(LFO RING IN)	int8x4	0,13	0
100	840	NAME	PAT_NAME1	(LFO PITCH IN)	int8x4	0,13	0
101	841	NAME	PAT_NAME1	(LFO FILTER IN)	int8x4	0,13	0
102	842	NAME	PAT_NAME1	(LFO AMP IN)	int8x4	0,13	0
103	843	NAME	PAT_NAME1	(OSC1 X-MOD IN)	int8x4	0,13	0
104	844	NAME	PAT_NAME1	(OSC2 SYNC IN)	int8x4	0,13	0
105	845	NAME	PAT_NAME1	(OSC2 RING IN)	int8x4	0,13	0
106	846	NAME	PAT_NAME2	(OSC3 EXT IN)	int8x4	0,13	0
107	847	NAME	PAT_NAME2	(P ENV GATE IN)	int8x4	0,13	0
108	848	NAME	PAT_NAME2	(PITCH ENV IN)	int8x4	0,13	0
109	849	NAME	PAT_NAME2	(F ENV GATE IN)	int8x4	0,13	0
110	850	NAME	PAT_NAME2	(FILTER ENV IN)	int8x4	0,13	0
111	851	NAME	PAT_NAME2	(A ENV GATE IN)	int8x4	0,13	0
112	852	NAME	PAT_NAME2	(AMP ENV IN)	int8x4	0,13	0
113	853	NAME	PAT_NAME2	LFO CV GAIN	int8x4	0,255	128
114	854	NAME	PAT_NAME2	(F ENV VARIATION)	int8x4	0,2	0
115	855	NAME	PAT_NAME2	VCA MODE	int8x4	0,2	1
116	856	NAME	PAT_NAME2	CONDITION	int8x4	0,255	128
117	857	NAME	PAT_NAME2	BEND GAIN	int8x4	0,3	0
118	858	NAME	PAT_NAME2	BEND SENS DCO	int8x4	0,255	43
119	859	NAME	PAT_NAME2	BEND SENS VCF	int8x4	0,255	43
120	860	NAME	PAT_NAME2	MOD SENS DCO	int8x4	0,255	22
121	861	NAME	PAT_NAME2	MOD SENS VCF	int8x4	0,255	22
122	862	NAME	PAT_NAME3	(LFO VARIATION)	int8x4	0,8	0
123	863	NAME	PAT_NAME3	LFO TRIG ENV	int8x4	0,1	0
124	864	NAME	PAT_NAME3	(OSC1 VARIATION)	int8x4	0,8	0
125	865	NAME	PAT_NAME3	(OSC1 COARSE TUNE)	int8x4	0,22	11
126	866	NAME	PAT_NAME3	(OSC1 FINE TUNE)	int8x4	0,255	128
127	867	NAME	PAT_NAME3	(OSC2 VARIATION)	int8x4	0,8	0
128	868	NAME	PAT_NAME3	(OSC3 WAVEFORM)	int8x4	0,5	0
129	869	NAME	PAT_NAME3	(OSC3 COLOR)	int8x4	0,255	0
130	870	NAME	PAT_NAME3	(OSC3 TUNE)	int8x4	0,255	128
131	871	NAME	PAT_NAME3	HPF TYPE	int8x4	0,8	0
132	872	NAME	PAT_NAME3	(FILTER TYPE)	int8x4	0,5	0
133	873	NAME	PAT_NAME3	EFFECT TYPE	int8x4	0,5	2
134	874	NAME	PAT_NAME3	EFFECT TONE	int8x4	0,255	128
135	875	NAME	PAT_NAME3	DELAY TYPE	int8x4	0,5	0
136	876	NAME	PAT_NAME3	REVERB TYPE	int8x4	0,5	2
137	877	NAME	PAT_NAME3	REVERB TIME	int8x4	0,255	128
138	878	PATCH2	PAT2_LFO	LFO RATE H	int8x4	0,1065353216	1058115986
139	879	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
140	880	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
141	881	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
142	882	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
143	883	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
144	884	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
145	885	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
146	886	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
147	887	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
148	888	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
149	889	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
150	890	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
151	891	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
152	892	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
153	893	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
154	894	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
155	895	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
156	896	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
157	897	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
158	898	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
159	899	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
160	900	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
161	901	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
162	902	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
163	903	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
164	904	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
165	905	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
166	906	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
167	907	PATCH2	PAT2_LFO	_reserve_	int8x4	0,0	0
168	908	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
169	909	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
170	910	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
171	911	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
172	912	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
173	913	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
174	914	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
175	915	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
176	916	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
177	917	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
178	918	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
179	919	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
180	920	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
181	921	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
182	922	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
183	923	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
184	924	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
185	925	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
186	926	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
187	927	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
188	928	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
189	929	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
190	930	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
191	931	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
192	932	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
193	933	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
194	934	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
195	935	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
196	936	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
197	937	PATCH2	PAT2_OSC1	_reserve_	int8x4	0,0	0
198	938	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
199	939	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
200	940	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
201	941	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
202	942	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
203	943	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
204	944	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
205	945	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
206	946	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
207	947	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
208	948	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
209	949	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
210	950	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
211	951	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
212	952	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
213	953	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
214	954	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
215	955	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
216	956	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
217	957	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
218	958	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
219	959	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
220	960	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
221	961	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
222	962	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
223	963	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
224	964	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
225	965	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
226	966	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
227	967	PATCH2	PAT2_OSC2	_reserve_	int8x4	0,0	0
228	968	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
229	969	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
230	970	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
231	971	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
232	972	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
233	973	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
234	974	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
235	975	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
236	976	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
237	977	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
238	978	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
239	979	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
240	980	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
241	981	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
242	982	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
243	983	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
244	984	PATCH2	PAT2_MIX	_reserve_	int8x4	0,0	0
