offset	array	class	voice_distinct	written_at_v>0	writers	readers
3600	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:42
3840	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:624	engine_b/eb_coefs.c:269
3856	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:42
3872	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:42
3888	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:383	engine_b/eb_coefs.c:42
3904	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:384	engine_b/eb_coefs.c:42
3920	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:385	engine_b/eb_coefs.c:42
3936	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:386	engine_b/eb_coefs.c:42
3952	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:42
3968	MAIN	BUILD-READ+RECALL	YES	YES	src/juno_apply.c:504,src/juno_apply.c:661	engine_b/eb_coefs.c:42
3984	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:454	engine_b/eb_coefs.c:42
4000	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:42
4016	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:42
4032	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:597	engine_b/eb_coefs.c:42
4048	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:42
4064	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:42
4080	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:42
4096	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:42
4112	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:42
4128	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:452	engine_b/eb_coefs.c:42
4144	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:597	engine_b/eb_coefs.c:42
4160	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:42
4176	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:42
4192	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:597	engine_b/eb_coefs.c:134
4208	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:597	engine_b/eb_coefs.c:134
4224	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:597	engine_b/eb_coefs.c:135
4336	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:176
