# data refs from sub_180388170 @ 0x180388170
# addr            name                  f32                       f64
0x0018098B570  aEffectSw               6.800192693309534e+22     2.681495763785399e+92
0x0018098B580  aMuteSw                 7.21513274569724e+22      5.189920932800488e-307
0x0018098B588  aDsDrive                641.301025390625          5.81240795003532e+180
0x0018098B598  aDsLevel                42028304.0                1.445063402062259e+214
0x0018098B5A8  aDsMute                 168113216.0               9.547754045151866e-307
0x0018098B5B0  aDsBiasmute             40.08131408691406         1.2756288567460003e+65
0x0018098B5C0  aOdTone                 2753363181568.0           2.3703598289894576e-307
0x0018098B5C8  aDsTone                 2754366930944.0           2.370359828990971e-307
0x0018098B5D0  aMtTone                 2754436399104.0           2.3703598289910758e-307
0x0018098B5D8  aFzTone                 2754837217280.0           2.37035982899168e-307
0x0018098B5E0  aDelayTime              2.7254553491823133e+20    2.4072045885870125e+199
0x0018098B5F0  aErrorDepth             7.503351576348889e+28     6.524706756125915e+179
0x0018098B600  aLfoPhase               1.7556841293013242e-19    6.085582715862342e+247
0x0018098B610  aLfoDepth               1.7556841293013242e-19    7.512818817115952e+252
0x0018098B620  aNoiseLevel             1.849460899812769e+31     9.118089757382715e+179
0x0018098B630  aDryLevel               2.112892771050458e-19     5.80820476074152e+180
0x0018098B640  aWetLevel               2.070113445461659e-19     5.808204760436555e+180
0x0018098B64C  aIpFc                   10268.0712890625          2.106588668623e-312
0x0018098B654  aOnOff                  2943241984.0              5.5626654034771e-310
0x0018098B660  aPatchLevel             4.5080176586049465e+21    9.118104288869948e+179
0x0018098B670  aExpression             4.762995155120889e+30     9.305374649344218e+199
0x0018098B67C  aVolume                 2.9971685051323264e+32    5.50985940418253e-310
0x0018098B688  aVoice0GateNoti         4.3061139689605326e+21    4.202916910421271e+34
0x0018098B6A0  aVoice0NoteOffN         4.3061139689605326e+21    2.182279227066327e+68
0x0018098B6B8  aVoice1GateNoti         4.3061139689605326e+21    4.203931030901453e+34
0x0018098B6D0  aVoice1NoteOffN         4.3061139689605326e+21    2.1828057885246696e+68
0x0018098B6E8  aVoice2GateNoti         4.3061139689605326e+21    4.204945151381636e+34
0x0018098B700  aVoice2NoteOffN         4.3061139689605326e+21    2.1833323499830123e+68
0x0018098B718  aVoice3GateNoti         4.3061139689605326e+21    4.2059592718618185e+34
0x0018098B730  aVoice3NoteOffN         4.3061139689605326e+21    2.183858911441355e+68
0x0018098B748  aVoice4GateNoti         4.3061139689605326e+21    4.206973392342001e+34
0x0018098B760  aVoice4NoteOffN         4.3061139689605326e+21    2.184385472899698e+68
0x0018098B778  aVoice5GateNoti         4.3061139689605326e+21    4.207987512822184e+34
0x0018098B790  aVoice5NoteOffN         4.3061139689605326e+21    2.1849120343580407e+68
0x0018098B7A8  aVoice6GateNoti         4.3061139689605326e+21    4.209001633302366e+34
0x0018098B7C0  aVoice6NoteOffN         4.3061139689605326e+21    2.1854385958163835e+68
0x0018098B7D8  aVoice7GateNoti         4.3061139689605326e+21    4.210015753782549e+34
0x0018098B7F0  aVoice7NoteOffN         4.3061139689605326e+21    2.1859651572747263e+68
